mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.036496686935425,0.22372306739122116,0.019684600830078124,0.009339962241237638,6,0.01,500,"{'depth': 6, 'learning_rate': 0.01, 'n_estimators': 500}",-0.014635581933337012,-0.02148133472786748,-0.020438312169545354,-0.016001417632758898,-0.019574926303535474,-0.01842631455340884,0.002643874826797648,25
11.916247034072876,0.3246830608487878,0.015633440017700194,0.00550394480426514,6,0.01,1000,"{'depth': 6, 'learning_rate': 0.01, 'n_estimators': 1000}",-0.011981944030422034,-0.01845370995280318,-0.016588566277980464,-0.013051005305192811,-0.01677081536601181,-0.015369208186482058,0.0024418481135892495,15
23.434883069992065,0.2357597888035981,0.01452031135559082,0.004815073471738798,6,0.01,2000,"{'depth': 6, 'learning_rate': 0.01, 'n_estimators': 2000}",-0.011130405054754017,-0.01721603418394267,-0.015017888709449588,-0.01174769498518217,-0.015599899692480441,-0.014142384525161778,0.0023300102397903273,1
5.737719297409058,0.2075077695632826,0.014295864105224609,0.004728830636842945,6,0.05,500,"{'depth': 6, 'learning_rate': 0.05, 'n_estimators': 500}",-0.011137546337552005,-0.01780077961548774,-0.015261006003701536,-0.01175572084034077,-0.01599648359467521,-0.01439030727835145,0.0025491465092912094,4
11.544991254806519,0.3502245581957923,0.016424274444580077,0.004882578321704954,6,0.05,1000,"{'depth': 6, 'learning_rate': 0.05, 'n_estimators': 1000}",-0.010993716065364381,-0.017595116444323936,-0.015050857806189474,-0.01139260919460349,-0.016095429795852143,-0.014225545861266686,0.002607752504992163,2
23.717692279815672,0.49900374742507797,0.02209482192993164,0.006123934087428473,6,0.05,2000,"{'depth': 6, 'learning_rate': 0.05, 'n_estimators': 2000}",-0.011079368973208707,-0.017721918367953983,-0.01503030529462782,-0.011358741157518743,-0.016020564625237346,-0.014242179683709319,0.0026157203831543444,3
5.9363690376281735,0.214916349337984,0.015198898315429688,0.006579443897145187,6,0.1,500,"{'depth': 6, 'learning_rate': 0.1, 'n_estimators': 500}",-0.011009251558845743,-0.018328619574815457,-0.015263169084078619,-0.012622227403993628,-0.01693995531776344,-0.01483264458789938,0.0026963764330922052,9
11.578844451904297,0.3195169248394662,0.013898468017578125,0.0025883522439436694,6,0.1,1000,"{'depth': 6, 'learning_rate': 0.1, 'n_estimators': 1000}",-0.011098917770081212,-0.01831138655026015,-0.015260919288589452,-0.012742516808881593,-0.017057487589663224,-0.014894245601495127,0.002665534389227596,10
23.35931420326233,0.3250950301591604,0.01903400421142578,0.0066050354918065,6,0.1,2000,"{'depth': 6, 'learning_rate': 0.1, 'n_estimators': 2000}",-0.011168694327480914,-0.018396571922137145,-0.015312142035977045,-0.012805533129270946,-0.017133584881530113,-0.01496330525927923,0.0026711111321916074,11
12.857530117034912,0.2135608781101697,0.011067724227905274,0.003310109923375821,8,0.01,500,"{'depth': 8, 'learning_rate': 0.01, 'n_estimators': 500}",-0.014779890190104414,-0.02184698425864726,-0.020958080837515877,-0.015806333641576024,-0.019253627443291874,-0.018528983274227088,0.0027893825356856234,26
26.011012077331543,0.8245119599854196,0.014468908309936523,0.0013875427350523468,8,0.01,1000,"{'depth': 8, 'learning_rate': 0.01, 'n_estimators': 1000}",-0.012195859904055393,-0.018871739831872403,-0.017306170074136727,-0.012912779292598446,-0.0163961591835126,-0.015536541657235114,0.0025705391423436748,16
52.17219748497009,0.7156496274727978,0.019692611694335938,0.007017408016319447,8,0.01,2000,"{'depth': 8, 'learning_rate': 0.01, 'n_estimators': 2000}",-0.011183231946648473,-0.017872056175427625,-0.01591442768064538,-0.011828980151452081,-0.015480284240509,-0.014455796038936514,0.0025478560833142624,6
13.05932149887085,0.3270649539466122,0.016084909439086914,0.008234335674698607,8,0.05,500,"{'depth': 8, 'learning_rate': 0.05, 'n_estimators': 500}",-0.011204572199974581,-0.016785026593384166,-0.016226223847267414,-0.01194682458263038,-0.016104172815902363,-0.014453364007831782,0.002372435046311743,5
25.196290683746337,0.6378688862752708,0.013134431838989259,0.004548862235884605,8,0.05,1000,"{'depth': 8, 'learning_rate': 0.05, 'n_estimators': 1000}",-0.011083487580969118,-0.016898244273031757,-0.01631102424442073,-0.011976238211987816,-0.016016100280081796,-0.014457018918098244,0.0024233298690557537,7
52.803920888900755,1.379139716921143,0.013548040390014648,0.004160983273777943,8,0.05,2000,"{'depth': 8, 'learning_rate': 0.05, 'n_estimators': 2000}",-0.011102720316999822,-0.016920156340740698,-0.0163426376853163,-0.012076259454887809,-0.016091898469280844,-0.014506734453445094,0.0024167089936400874,8
13.29406967163086,0.29125645090507235,0.020184087753295898,0.004626572391336004,8,0.1,500,"{'depth': 8, 'learning_rate': 0.1, 'n_estimators': 500}",-0.012240694083277232,-0.017719660361254712,-0.01695845533862758,-0.012725513437672973,-0.016247277511838944,-0.01517832014653429,0.0022545894915254783,14
26.478252696990968,0.7391236149924242,0.024747705459594725,0.02132061298822335,8,0.1,1000,"{'depth': 8, 'learning_rate': 0.1, 'n_estimators': 1000}",-0.012239831239201394,-0.017708445077892487,-0.016911746169185747,-0.012776562021092258,-0.016216810873494046,-0.015170679076173189,0.0022310368959804748,12
53.26735572814941,0.7551498123847435,0.02132577896118164,0.0030781117441511453,8,0.1,2000,"{'depth': 8, 'learning_rate': 0.1, 'n_estimators': 2000}",-0.012252879581871242,-0.017720407757085388,-0.016898907621362577,-0.01280309312069926,-0.01621404417775519,-0.015177866451754729,0.002222397796954463,13
32.96518063545227,1.4167907735324798,0.014230775833129882,0.0028498033729704927,10,0.01,500,"{'depth': 10, 'learning_rate': 0.01, 'n_estimators': 500}",-0.016030040787715073,-0.023433965821117335,-0.022566771074409603,-0.016847462704845037,-0.02015488752858968,-0.019806625583335347,0.002963664096181868,27
64.77628808021545,1.2356574052644367,0.017239952087402345,0.00719837372861731,10,0.01,1000,"{'depth': 10, 'learning_rate': 0.01, 'n_estimators': 1000}",-0.013369874172030397,-0.01998708850975002,-0.01888061853289854,-0.013734949746569938,-0.017094321438550383,-0.016613370479959855,0.002666806146708666,21
132.3908787250519,3.181557821312694,0.028754520416259765,0.007381717631968821,10,0.01,2000,"{'depth': 10, 'learning_rate': 0.01, 'n_estimators': 2000}",-0.012629741186361712,-0.019197707316839834,-0.017783914530805793,-0.012926519208173969,-0.016298882876848095,-0.01576735302380588,0.0026088817406096755,17
33.19947857856751,0.6240996221775117,0.018498849868774415,0.00958112068514669,10,0.05,500,"{'depth': 10, 'learning_rate': 0.05, 'n_estimators': 500}",-0.013147459319454406,-0.01987798001056889,-0.01852406055695803,-0.01307125383419437,-0.016309596265845074,-0.016186069997404153,0.002758510203845807,20
67.2739951133728,1.5140556539164338,0.019556188583374025,0.005880490620726697,10,0.05,1000,"{'depth': 10, 'learning_rate': 0.05, 'n_estimators': 1000}",-0.013064811836558726,-0.019761547130928328,-0.018320813249206352,-0.013030437171170759,-0.016230668582084204,-0.016081655593989674,0.002719886531444599,19
136.2466203212738,3.6343008365332445,0.022646331787109376,0.0058681612976960165,10,0.05,2000,"{'depth': 10, 'learning_rate': 0.05, 'n_estimators': 2000}",-0.01306952494528881,-0.01974064399551536,-0.018304146443121286,-0.013044504079212907,-0.016241730554950047,-0.01608011000361768,0.0027074155246066545,18
34.09136905670166,0.5802516033523715,0.025733327865600585,0.011378042338749905,10,0.1,500,"{'depth': 10, 'learning_rate': 0.1, 'n_estimators': 500}",-0.013608244513796892,-0.019403518668365583,-0.01975834630186492,-0.014958541511622705,-0.01778941512960746,-0.017103613225051512,0.0024341911220352288,22
67.31238317489624,1.8818433987301981,0.014924287796020508,0.0042335430428291675,10,0.1,1000,"{'depth': 10, 'learning_rate': 0.1, 'n_estimators': 1000}",-0.013629594934890455,-0.019409838358491457,-0.01973763321839964,-0.015004186859444544,-0.01780336013706866,-0.01711692270165895,0.0024175148341421494,23
120.05263042449951,23.288418805653144,0.022452926635742186,0.008519576675480369,10,0.1,2000,"{'depth': 10, 'learning_rate': 0.1, 'n_estimators': 2000}",-0.01363333866900933,-0.019409020801956518,-0.019737467886798976,-0.015008368757740012,-0.017801699593459466,-0.01711797914179286,0.0024154188881811357,24
